Link iFood,restaurant_name,city,state,id_restaurant
https://www.ifood.com.br/delivery/itajai-sc/yor-burger-brava-santa-clara/8a98fa30-c150-46b1-a675-cdd7200737eb,Yor Burger Brava Santa Clara,Itajai,SC,8a98fa30-c150-46b1-a675-cdd7200737eb
https://www.ifood.com.br/delivery/itajai-sc/di-roma-pizza---itajai-fazenda/a8276af1-6aa3-4889-83cc-258b9f6a4552,Di Roma Pizza   Itajai Fazenda,Itajai,SC,a8276af1-6aa3-4889-83cc-258b9f6a4552
https://www.ifood.com.br/delivery/itajai-sc/el-patron---itajai-centro/afb739cb-5fd0-4c4b-b6d8-aeb9141da5da,El Patron   Itajai Centro,Itajai,SC,afb739cb-5fd0-4c4b-b6d8-aeb9141da5da
https://www.ifood.com.br/delivery/balneario-camboriu-sc/karan-sushi-express-nacoes/23d0468d-1689-43ca-a1de-943250b49594,Karan Sushi Express Nacoes,Balneario Camboriu,SC,23d0468d-1689-43ca-a1de-943250b49594
https://www.ifood.com.br/delivery/itajai-sc/uni-sushi-santa-clara/3d919230-2551-4774-8699-8797ea1923a2,Uni Sushi Santa Clara,Itajai,SC,3d919230-2551-4774-8699-8797ea1923a2
https://www.ifood.com.br/delivery/itajai-sc/sabor-brazuca-centro/61148333-5987-4aa5-a4e8-1583b253f48f,Sabor Brazuca Centro,Itajai,SC,61148333-5987-4aa5-a4e8-1583b253f48f
https://www.ifood.com.br/delivery/balneario-camboriu-sc/brazilian-chickens-sc-nacoes/86191ef3-ad22-4d97-9715-5dceddf0cc04,Brazilian Chickens Sc Nacoes,Balneario Camboriu,SC,86191ef3-ad22-4d97-9715-5dceddf0cc04
https://www.ifood.com.br/delivery/itajai-sc/guacamole-taqueria-brava-praia-brava-de-itajai/f7787b32-875e-45fb-a19f-83bb348f68f9,Guacamole Taqueria Brava Praia Brava De Itajai,Itajai,SC,f7787b32-875e-45fb-a19f-83bb348f68f9
https://www.ifood.com.br/delivery/itajai-sc/don-corleone-av-7-de-setembro---23-anos-fazenda/f474f214-06fb-41af-b42b-4f057d364422,Don Corleone Av 7 De Setembro   23 Anos Fazenda,Itajai,SC,f474f214-06fb-41af-b42b-4f057d364422
https://www.ifood.com.br/delivery/balneario-camboriu-sc/mangiare-felice---balneario-centro/31f58193-a3fa-48ac-a02b-08f6521728f0,Mangiare Felice   Balneario Centro,Balneario Camboriu,SC,31f58193-a3fa-48ac-a02b-08f6521728f0
https://www.ifood.com.br/delivery/itajai-sc/acai-da-vizinha-fazendinha/6b594795-1240-497b-9bf4-df23daba8d52,Acai Da Vizinha Fazendinha,Itajai,SC,6b594795-1240-497b-9bf4-df23daba8d52
https://www.ifood.com.br/delivery/itajai-sc/didge-steakhouse-brava-praia-brava-de-itajai/72b79dba-72dc-41ce-be86-26fdc4e15677,Didge Steakhouse Brava Praia Brava De Itajai,Itajai,SC,72b79dba-72dc-41ce-be86-26fdc4e15677
https://www.ifood.com.br/delivery/itajai-sc/boutique-do-pao-de-lo-itj-centro/9b3a71c4-66de-476d-8f17-5c9e96eba5d9,Boutique Do Pao De Lo Itj Centro,Itajai,SC,9b3a71c4-66de-476d-8f17-5c9e96eba5d9
https://www.ifood.com.br/delivery/balneario-camboriu-sc/pizzadog---bc-centro/c4752e5d-062e-47ed-8bac-4d4cefe1b9f8,Pizzadog   Bc Centro,Balneario Camboriu,SC,c4752e5d-062e-47ed-8bac-4d4cefe1b9f8
https://www.ifood.com.br/delivery/itajai-sc/kekai-sushi-praia-brava/a73fdfe8-7891-4f86-aebf-cac9a82a7f2e,Kekai Sushi Praia Brava,Itajai,SC,a73fdfe8-7891-4f86-aebf-cac9a82a7f2e
https://www.ifood.com.br/delivery/balneario-camboriu-sc/chef-waldemar-vila-real/cd5341fd-8ea2-43ef-80ea-8b9c5e960b9a,Chef Waldemar Vila Real,Balneario Camboriu,SC,cd5341fd-8ea2-43ef-80ea-8b9c5e960b9a
https://www.ifood.com.br/delivery/balneario-camboriu-sc/pizza-hut---av-brasil-centro/2add8a4b-b1e5-490b-90bd-585fe39932e9,Pizza Hut   Av Brasil Centro,Balneario Camboriu,SC,2add8a4b-b1e5-490b-90bd-585fe39932e9
https://www.ifood.com.br/delivery/balneario-camboriu-sc/karan-sushi-centro/328153f0-d3c2-41ef-95b2-b69bc7b97ba6,Karan Sushi Centro,Balneario Camboriu,SC,328153f0-d3c2-41ef-95b2-b69bc7b97ba6
https://www.ifood.com.br/delivery/balneario-camboriu-sc/pono-poke-hawaiian-food-municipios/1527f87b-6ad0-4bfd-813d-1d215fdf7cf9,Pono Poke Hawaiian Food Municipios,Balneario Camboriu,SC,1527f87b-6ad0-4bfd-813d-1d215fdf7cf9
https://www.ifood.com.br/delivery/balneario-camboriu-sc/karan-sushi-premium-centro/e3117d26-8524-45d5-ab82-effc31a104b1,Karan Sushi Premium Centro,Balneario Camboriu,SC,e3117d26-8524-45d5-ab82-effc31a104b1
https://www.ifood.com.br/delivery/itajai-sc/shori-sushi-praia-brava/93b80aef-93f0-4b70-a4f9-a5f5c07f7195,Shori Sushi Praia Brava,Itajai,SC,93b80aef-93f0-4b70-a4f9-a5f5c07f7195
https://www.ifood.com.br/delivery/itajai-sc/texas-brava-burger-praia-brava-de-itajai/e4c4695e-da32-488e-b665-b72dff0f6bb4,Texas Brava Burger Praia Brava De Itajai,Itajai,SC,e4c4695e-da32-488e-b665-b72dff0f6bb4
https://www.ifood.com.br/delivery/itajai-sc/blury-bakery-praia-brava/168607da-8d11-4aa2-81b0-2e2e7858d28c,Blury Bakery Praia Brava,Itajai,SC,168607da-8d11-4aa2-81b0-2e2e7858d28c
https://www.ifood.com.br/delivery/itajai-sc/uoki-thai-food---culinaria-tailandesa-praia-brava-de-itajai/ce8601ec-3705-4796-96b5-03ac2f1471f9,Uoki Thai Food   Culinaria Tailandesa Praia Brava De Itajai,Itajai,SC,ce8601ec-3705-4796-96b5-03ac2f1471f9
https://www.ifood.com.br/delivery/itajai-sc/saffari-marmitas---itajai-fazendinha/afe9f9ac-bff0-49f1-b069-1fb18acfcbd8,Saffari Marmitas   Itajai Fazendinha,Itajai,SC,afe9f9ac-bff0-49f1-b069-1fb18acfcbd8
https://www.ifood.com.br/delivery/itajai-sc/spasso-gelato-artesanal-praia-brava/35025ecc-497a-489d-a7fb-071a372dbbed,Spasso Gelato Artesanal Praia Brava,Itajai,SC,35025ecc-497a-489d-a7fb-071a372dbbed
https://www.ifood.com.br/delivery/itajai-sc/kohala-poke--bowls---itajai-fazenda/d5349596-20d2-4580-bafd-878c90bd12c9,Kohala Poke  Bowls   Itajai Fazenda,Itajai,SC,d5349596-20d2-4580-bafd-878c90bd12c9
https://www.ifood.com.br/delivery/itajai-sc/hot-dog-do-polaco-fazenda/d177386a-7d74-40ac-972b-edec945f6cb9,Hot Dog Do Polaco Fazenda,Itajai,SC,d177386a-7d74-40ac-972b-edec945f6cb9
https://www.ifood.com.br/delivery/itajai-sc/porto-grill-churrascaria-balneario-santa-clara/202241e5-86bd-4bba-8b5c-0c913611a68c,Porto Grill Churrascaria Balneario Santa Clara,Itajai,SC,202241e5-86bd-4bba-8b5c-0c913611a68c
https://www.ifood.com.br/delivery/itajai-sc/spoleto---itajai-fazenda/471385aa-e450-4f93-a12b-c90ebe3acaf0,Spoleto   Itajai Fazenda,Itajai,SC,471385aa-e450-4f93-a12b-c90ebe3acaf0
https://www.ifood.com.br/delivery/itajai-sc/box-chicken---louisiana-fried-chicken-centro/cd55a2ed-6f38-4f3b-abeb-6bb2fce03a5f,Box Chicken   Louisiana Fried Chicken Centro,Itajai,SC,cd55a2ed-6f38-4f3b-abeb-6bb2fce03a5f
